,compound_word,split_1,split_2,split_3
320,eyebrow,eyebrow,eye brow,eye bro w
321,eyeglasses,eyeglasses,eye glasses,eye g l a s s e s
322,eyelash,eyelash,eye lash,eye la sh
323,eyelid,eyelid,eye lid,eye l i d
324,eyesight,eyesight,eye sight,eye sigh t
325,eyewitness,eyewitness,eye witness,eye wit n e s s
326,fallout,fallout,fa ll out,fallout
327,fanfare,fanfare,fan fare,fan fa re
328,farewell,farewell,fa re well,far ewe l l
329,farmhouse,farmhouse,fa rm house,farmhouse
330,farmyard,farmyard,fa rm yard,farmyard
331,farsighted,farsighted,far sighted,far sight ed
332,fatherland,fatherland,fat her land,fatherland
333,feedback,feedback,feed back,fee db ac k
334,fiddlesticks,fiddlesticks,fiddle sticks,fiddles ticks
335,fingernail,fingernail,finger nail,finger n a i l
336,fingerprint,fingerprint,finger print,finger pr int
337,fingertip,fingertip,finger tip,finger ti p
338,firearm,firearm,fire arm,fir ea rm
339,fireboat,fire boat,fire boat,fire boat
340,firebug,firebug,fire bug,fire bu g
341,firefighter,firefighter,fire fighter,fire fig ht er
342,firefly,firefly,fire fly,fire fl y
343,fireman,fireman,fire man,fir em an
344,fireplace,fireplace,fire place,fire pl ace
345,fireproofed,fireproofed,fire proofed,fire pro of ed
346,firewood,firewood,fire wood,fire woo d
347,fireworks,fireworks,fire works,fire w o r k s
348,firsthand,firsthand,fir st hand,firsthand
349,fishbowl,fishbowl,fish bowl,fish bow l
350,fishcake,fish cake,fish cake,fish cake
351,fisherman,fisherman,fish er man,fisherman
352,fisherwoman,fisher woman,fish er woman,fish e r w o m a n
353,fisheye,fish eye,fish eye,fish eye
354,fishhook,fishhook,fish hook,fish ho o k
355,fishnet,fishnet,fish net,fish n e t
356,flapjacks,flapjacks,flap jacks,flap j a c k s
357,flagpole,flagpole,flag pole,flag pol e
358,flashlight,flashlight,fl ash light,flashlight
359,flatfish,flatfish,fl at fish,flatfish
360,floodlight,floodlight,flood light,flood l i g h t
361,floorboard,floorboard,floor board,floor boa rd
362,flowerbed,flowerbed,fl ow er bed,flower be d
363,flowerpot,flowerpot,fl ow er pot,flower p o t
364,flyby,flyby,fly by,fly b y
365,flyweight,flyweight,fly weight,fly weigh t
366,flywheel,flywheel,fly wheel,fly w h e e l
367,foghorn,foghorn,fog horn,fog ho r n
368,folklore,folklore,folk lore,folk lo re
369,foolproof,foolproof,fool proof,fool pro of
370,football,football,foot ball,foo tb all
371,foothills,foothills,foot hills,foot hi ll s
372,footlights,footlights,foot lights,foot light s
373,footman,footman,foot man,foot ma n
374,footnote,footnote,foot note,foot not e
375,footprint,footprint,foot print,foot pr int
376,footrest,footrest,foot rest,foot re st
377,footstep,footstep,foot step,foot st e p
378,footstool,footstool,foot stool,foot st o o l
379,footwear,footwear,foot wear,foot we a r
380,forecast,forecast,fore cast,fore ca st
381,foreclose,foreclose,fore close,fore cl o s e
382,foreman,foreman,fore man,for em an
383,foremost,foremost,fore most,fore mos t
384,foreshadow,foreshadow,fore shadow,fore sh ado w
385,foresight,foresight,fore sight,fore sigh t
386,forthwith,forthwith,forth with,forth wit h
387,foursquare,foursquare,four square,fours qua re
388,foxglove,foxglove,fox glove,fox g l o v e
389,foxhole,foxhole,fox hole,fox ho l e
390,framework,framework,frame work,frame w o r k
391,freeway,freeway,free way,free w a y
392,freshman,freshman,fresh man,fresh ma n
